name,subType,budgetType,project,plan,department,division,page,value,id
"รายการบุคลากรภาครัฐ
",รวม,รวม,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,34,97490679100,11_34_0
1. งบบุคลากร,รวม,รวม,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,34,90062970900,11_34_1
1.1 เงินเดือนและค่าจ้างประจำ,1.1 เงินเดือนและค่าจ้างประจำ,1. งบบุคลากร,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,34,87231787300,11_34_2
"1.1.1 เงินเดือน
",1.1 เงินเดือนและค่าจ้างประจำ,1. งบบุคลากร,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,34,83550697300,11_34_3
"1.1.2 ค่าจ้างประจำ
",1.1 เงินเดือนและค่าจ้างประจำ,1. งบบุคลากร,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,34,3681090000,11_34_4
1.2 ค่าตอบแทนพนักงานราชการ,1.2 ค่าตอบแทนพนักงานราชการ,1. งบบุคลากร,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,34,2831183600,11_34_5
2. งบดำเนินงาน,รวม,รวม,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,34,7427708200,11_34_6
2.1 ค่าตอบแทน ใช้สอยและวัสดุ,2.1 ค่าตอบแทน ใช้สอยและวัสดุ,2. งบดำเนินงาน,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,34,7427708200,11_34_7
"(1) เงินเพิ่มพิเศษสำหรับแพทย์ ทันตแพทย์ และเภสัชกร ที่ไม่ทำเวชปฏิบัติส่วนตัว
",2.1 ค่าตอบแทน ใช้สอยและวัสดุ,2. งบดำเนินงาน,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,34,50040000,11_34_8
"(2) ค่าตอบแทนกำลังคนด้านสาธารณสุข
",2.1 ค่าตอบแทน ใช้สอยและวัสดุ,2. งบดำเนินงาน,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,34,2600000000,11_34_9
"(3) ค่าเช่าบ้าน
",2.1 ค่าตอบแทน ใช้สอยและวัสดุ,2. งบดำเนินงาน,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,34,24393000,11_34_10
"(4) ค่าตอบแทนพิเศษข้าราชการที่ได้รับเงินเดือนเต็มขั้น
",2.1 ค่าตอบแทน ใช้สอยและวัสดุ,2. งบดำเนินงาน,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,34,42370300,11_34_11
"(5) ค่าตอบแทนพิเศษลูกจ้างประจำที่ได้รับเงินเดือนเต็มขั้น
",2.1 ค่าตอบแทน ใช้สอยและวัสดุ,2. งบดำเนินงาน,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,34,14696100,11_34_12
"(6) เงินค่าตอบแทนพิเศษรายเดือนผู้ปฏิบัติงานในพื้นที่จังหวัดชายแดนภาคใต้
",2.1 ค่าตอบแทน ใช้สอยและวัสดุ,2. งบดำเนินงาน,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,34,69368000,11_34_13
"(7) เงินค่าตอบแทนสำหรับตำแหน่งที่มีเหตุพิเศษของพนักงานราชการ (ค.ต.ส.)
",2.1 ค่าตอบแทน ใช้สอยและวัสดุ,2. งบดำเนินงาน,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,34,10200000,11_34_14
"(8) เงินเพิ่มสำหรับตำแหน่งที่มีเหตุพิเศษของผู้ปฏิบัติงานด้านการสาธารณสุข (พ.ต.ส.)
",2.1 ค่าตอบแทน ใช้สอยและวัสดุ,2. งบดำเนินงาน,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,34,4496856000,11_34_15
"(9) ค่าตอบแทนพิเศษสำหรับพนักงานราชการผู้ปฏิบัติงานในจังหวัดชายแดนภาคใต้
",2.1 ค่าตอบแทน ใช้สอยและวัสดุ,2. งบดำเนินงาน,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,34,16260000,11_34_16
"(10) เงินสมทบกองทุนประกันสังคม
",2.1 ค่าตอบแทน ใช้สอยและวัสดุ,2. งบดำเนินงาน,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,34,98280000,11_34_17
"(11) เงินสบทบกองทุนเงินทดแทน
",2.1 ค่าตอบแทน ใช้สอยและวัสดุ,2. งบดำเนินงาน,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,34,5238800,11_34_18
"ผลผลิต : นโยบาย ยุทธศาสตร์ ระบบบริหารจัดการด้านสุขภาพ
ที่มีคุณภาพและประสิทธิภาพ
",รวม,รวม,"ผลผลิต : นโยบาย ยุทธศาสตร์ ระบบบริหารจัดการด้านสุขภาพ
ที่มีคุณภาพและประสิทธิภาพ
","7.2 แผนงานพื้นฐานด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์
",กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,42,1027974000,11_42_0
1. งบดำเนินงาน,รวม,รวม,"ผลผลิต : นโยบาย ยุทธศาสตร์ ระบบบริหารจัดการด้านสุขภาพ
ที่มีคุณภาพและประสิทธิภาพ
","7.2 แผนงานพื้นฐานด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์
",กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,42,499641100,11_42_1
1.1 ค่าตอบแทน ใช้สอยและวัสดุ,1.1 ค่าตอบแทน ใช้สอยและวัสดุ,1. งบดำเนินงาน,"ผลผลิต : นโยบาย ยุทธศาสตร์ ระบบบริหารจัดการด้านสุขภาพ
ที่มีคุณภาพและประสิทธิภาพ
","7.2 แผนงานพื้นฐานด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์
",กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,42,229141500,11_42_2
"(1) รายการไม่ผูกพัน
",1.1 ค่าตอบแทน ใช้สอยและวัสดุ,1. งบดำเนินงาน,"ผลผลิต : นโยบาย ยุทธศาสตร์ ระบบบริหารจัดการด้านสุขภาพ
ที่มีคุณภาพและประสิทธิภาพ
","7.2 แผนงานพื้นฐานด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์
",กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,42,215436500,11_42_3
