name,subType,budgetType,project,plan,department,division,page,value,id
"รายการบุคลากรภาครัฐ
",รวม,รวม,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (1),สำนักงานปลัดกระทรวงอุดมศึกษา วิทยาศาสตร์ วิจัย และนวัตกรรม,53,747755500,1_53_0
1. งบบุคลากร,รวม,รวม,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (1),สำนักงานปลัดกระทรวงอุดมศึกษา วิทยาศาสตร์ วิจัย และนวัตกรรม,53,318705300,1_53_1
1.1 เงินเดือนและค่าจ้างประจำ,1.1 เงินเดือนและค่าจ้างประจำ,1. งบบุคลากร,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (1),สำนักงานปลัดกระทรวงอุดมศึกษา วิทยาศาสตร์ วิจัย และนวัตกรรม,53,303119400,1_53_2
"1.1.1 เงินเดือน
",1.1 เงินเดือนและค่าจ้างประจำ,1. งบบุคลากร,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (1),สำนักงานปลัดกระทรวงอุดมศึกษา วิทยาศาสตร์ วิจัย และนวัตกรรม,53,281122500,1_53_3
"1.1.2 ค่าจ้างประจำ
",1.1 เงินเดือนและค่าจ้างประจำ,1. งบบุคลากร,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (1),สำนักงานปลัดกระทรวงอุดมศึกษา วิทยาศาสตร์ วิจัย และนวัตกรรม,53,21996900,1_53_4
1.2 ค่าจ้างชั่วคราว,1.2 ค่าจ้างชั่วคราว,1. งบบุคลากร,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (1),สำนักงานปลัดกระทรวงอุดมศึกษา วิทยาศาสตร์ วิจัย และนวัตกรรม,53,2701100,1_53_5
1.3 ค่าตอบแทนพนักงานราชการ,1.3 ค่าตอบแทนพนักงานราชการ,1. งบบุคลากร,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (1),สำนักงานปลัดกระทรวงอุดมศึกษา วิทยาศาสตร์ วิจัย และนวัตกรรม,53,12884800,1_53_6
2. งบดำเนินงาน,รวม,รวม,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (1),สำนักงานปลัดกระทรวงอุดมศึกษา วิทยาศาสตร์ วิจัย และนวัตกรรม,53,6693300,1_53_7
2.1 ค่าตอบแทน ใช้สอยและวัสดุ,2.1 ค่าตอบแทน ใช้สอยและวัสดุ,2. งบดำเนินงาน,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (1),สำนักงานปลัดกระทรวงอุดมศึกษา วิทยาศาสตร์ วิจัย และนวัตกรรม,53,6693300,1_53_8
"(1) ค่าเช่าบ้าน
",2.1 ค่าตอบแทน ใช้สอยและวัสดุ,2. งบดำเนินงาน,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (1),สำนักงานปลัดกระทรวงอุดมศึกษา วิทยาศาสตร์ วิจัย และนวัตกรรม,53,5500200,1_53_9
"(2) เงินอื่นๆ ที่กฎหมายกำหนดให้จ่ายควบกับค่าจ้างชั่วคราวที่ปฏิบัติงาน
ในต่างประเทศ
",2.1 ค่าตอบแทน ใช้สอยและวัสดุ,2. งบดำเนินงาน,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (1),สำนักงานปลัดกระทรวงอุดมศึกษา วิทยาศาสตร์ วิจัย และนวัตกรรม,53,660400,1_53_10
