name,subType,budgetType,project,plan,department,division,page,value,id
"รายการบุคลากรภาครัฐ
",รวม,รวม,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงการคลัง,สำนักงานปลัดกระทรวงการคลัง,32,122578500,1_32_0
1. งบบุคลากร,รวม,รวม,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงการคลัง,สำนักงานปลัดกระทรวงการคลัง,32,121452600,1_32_1
1.1 เงินเดือนและค่าจ้างประจำ,1.1 เงินเดือนและค่าจ้างประจำ,1. งบบุคลากร,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงการคลัง,สำนักงานปลัดกระทรวงการคลัง,32,104008500,1_32_2
"1.1.1 เงินเดือน
",1.1 เงินเดือนและค่าจ้างประจำ,1. งบบุคลากร,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงการคลัง,สำนักงานปลัดกระทรวงการคลัง,32,97425000,1_32_3
"1.1.2 ค่าจ้างประจำ
",1.1 เงินเดือนและค่าจ้างประจำ,1. งบบุคลากร,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงการคลัง,สำนักงานปลัดกระทรวงการคลัง,32,6583500,1_32_4
1.2 ค่าตอบแทนพนักงานราชการ,1.2 ค่าตอบแทนพนักงานราชการ,1. งบบุคลากร,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงการคลัง,สำนักงานปลัดกระทรวงการคลัง,32,17444100,1_32_5
2. งบดำเนินงาน,รวม,รวม,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงการคลัง,สำนักงานปลัดกระทรวงการคลัง,32,1125900,1_32_6
2.1 ค่าตอบแทน ใช้สอยและวัสดุ,2.1 ค่าตอบแทน ใช้สอยและวัสดุ,2. งบดำเนินงาน,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงการคลัง,สำนักงานปลัดกระทรวงการคลัง,32,1125900,1_32_7
"(1) ค่าเช่าบ้าน
",2.1 ค่าตอบแทน ใช้สอยและวัสดุ,2. งบดำเนินงาน,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงการคลัง,สำนักงานปลัดกระทรวงการคลัง,32,150000,1_32_8
"(2) ค่าตอบแทนพิเศษ ข้าราชการและลูกจ้างที่ได้รับเงินเดือนเต็มขั้น
",2.1 ค่าตอบแทน ใช้สอยและวัสดุ,2. งบดำเนินงาน,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงการคลัง,สำนักงานปลัดกระทรวงการคลัง,32,231700,1_32_9
"(3) เงินสมทบกองทุนประกันสังคม
",2.1 ค่าตอบแทน ใช้สอยและวัสดุ,2. งบดำเนินงาน,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",กระทรวงการคลัง,สำนักงานปลัดกระทรวงการคลัง,32,706500,1_32_10
