name,subType,budgetType,project,plan,department,division,page,value,id
"รายการบุคลากรภาครัฐ
",รวม,รวม,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",สำนักนายกรัฐมนตรี,สำนักงานปลัดสำนักนายกรัฐมนตรี,48,257524800,1_48_0
1. งบบุคลากร,รวม,รวม,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",สำนักนายกรัฐมนตรี,สำนักงานปลัดสำนักนายกรัฐมนตรี,48,254461000,1_48_1
1.1 เงินเดือนและค่าจ้างประจำ,1.1 เงินเดือนและค่าจ้างประจำ,1. งบบุคลากร,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",สำนักนายกรัฐมนตรี,สำนักงานปลัดสำนักนายกรัฐมนตรี,48,199654300,1_48_2
"1.1.1 เงินเดือน
",1.1 เงินเดือนและค่าจ้างประจำ,1. งบบุคลากร,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",สำนักนายกรัฐมนตรี,สำนักงานปลัดสำนักนายกรัฐมนตรี,48,190198900,1_48_3
"1.1.2 ค่าจ้างประจำ
",1.1 เงินเดือนและค่าจ้างประจำ,1. งบบุคลากร,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",สำนักนายกรัฐมนตรี,สำนักงานปลัดสำนักนายกรัฐมนตรี,48,9455400,1_48_4
1.2 ค่าตอบแทนพนักงานราชการ,1.2 ค่าตอบแทนพนักงานราชการ,1. งบบุคลากร,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",สำนักนายกรัฐมนตรี,สำนักงานปลัดสำนักนายกรัฐมนตรี,48,54806700,1_48_5
2. งบดำเนินงาน,รวม,รวม,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",สำนักนายกรัฐมนตรี,สำนักงานปลัดสำนักนายกรัฐมนตรี,48,3063800,1_48_6
2.1 ค่าตอบแทน ใช้สอยและวัสดุ,2.1 ค่าตอบแทน ใช้สอยและวัสดุ,2. งบดำเนินงาน,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",สำนักนายกรัฐมนตรี,สำนักงานปลัดสำนักนายกรัฐมนตรี,48,3063800,1_48_7
"(1) ค่าเช่าบ้าน
",2.1 ค่าตอบแทน ใช้สอยและวัสดุ,2. งบดำเนินงาน,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",สำนักนายกรัฐมนตรี,สำนักงานปลัดสำนักนายกรัฐมนตรี,48,1020000,1_48_8
"(2) เงินตอบแทนพิเศษเงินเดือนเต็มขัน
",2.1 ค่าตอบแทน ใช้สอยและวัสดุ,2. งบดำเนินงาน,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",สำนักนายกรัฐมนตรี,สำนักงานปลัดสำนักนายกรัฐมนตรี,48,214200,1_48_9
"(3) เงินสมทบกองทุนประกันสังคม
",2.1 ค่าตอบแทน ใช้สอยและวัสดุ,2. งบดำเนินงาน,"รายการบุคลากรภาครัฐ
","7.1 แผนงานบุคลากรภาครัฐ
",สำนักนายกรัฐมนตรี,สำนักงานปลัดสำนักนายกรัฐมนตรี,48,1829600,1_48_10
